date,total_events,status
2019-09-03,164988,ok
2019-09-04,183724,ok
2019-09-05,181346,ok
2019-09-06,168054,ok
2019-09-07,102764,ok
2019-09-08,94990,ok
2019-09-09,160943,ok
2019-09-10,177536,ok
2019-09-11,183264,ok
2019-09-12,179898,ok
2019-09-13,167328,ok
2019-09-14,102061,ok
2019-09-15,95422,ok
2019-09-16,167318,ok
2019-09-17,177760,ok
2019-09-18,187176,ok
2019-09-19,186399,ok
2019-09-20,179820,ok
2019-09-21,108424,ok
2019-09-22,101169,ok
2019-09-23,177482,ok
2019-09-24,190993,ok
2019-09-25,197791,ok
2019-09-26,185674,ok
2019-09-27,182598,ok
2019-09-28,110060,ok
2019-09-29,92137,ok
2019-09-30,153234,ok
2019-10-01,172848,ok
2019-10-02,184819,ok
2019-10-03,184279,ok
2019-10-04,171751,ok
2019-10-05,103927,ok
2019-10-06,91518,ok
2019-10-07,158841,ok
2019-10-08,173057,ok
2019-10-09,183090,ok
2019-10-10,189503,ok
2019-10-11,185073,ok
2019-10-12,109703,ok
2019-10-13,98477,ok
2019-10-14,156240,ok
2019-10-15,181378,ok
2019-10-16,192759,ok
2019-10-17,187426,ok
2019-10-18,175689,ok
2019-10-19,107015,ok
2019-10-20,94077,ok
2019-10-21,157126,ok
2019-10-22,178042,ok
2019-10-23,186775,ok
2019-10-24,182818,ok
2019-10-25,166021,ok
2019-10-26,103798,ok
2019-10-27,95306,ok
2019-10-28,155792,ok
2019-10-29,174199,ok
2019-10-30,173808,ok
2019-10-31,172037,ok
2019-11-01,153607,ok
2019-11-02,103743,ok
2019-11-03,87080,ok
2019-11-04,153204,ok
2019-11-05,172432,ok
2019-11-06,179114,ok
2019-11-07,177659,ok
2019-11-08,168952,ok
2019-11-09,105861,ok
2019-11-10,89713,ok
2019-11-11,150802,ok
2019-11-12,172401,ok
2019-11-13,177406,ok
2019-11-14,180761,ok
2019-11-15,170885,ok
2019-11-16,106039,ok
2019-11-17,91867,ok
2019-11-18,153319,ok
2019-11-19,171870,ok
2019-11-20,183512,ok
2019-11-21,182728,ok
2019-11-22,166184,ok
2019-11-23,105762,ok
2019-11-24,89481,ok
2019-11-25,147572,ok
2019-11-26,166565,ok
2019-11-27,165222,ok
2019-11-28,134572,ok
2019-11-29,124461,ok
2019-11-30,86996,ok
2019-12-01,84737,ok
2019-12-02,146353,ok
2019-12-03,172876,ok
2019-12-04,180185,ok
2019-12-05,170984,ok
2019-12-06,161445,ok
2019-12-07,103471,ok
2019-12-08,89064,ok
2019-12-09,151043,ok
2019-12-10,175382,ok
2019-12-11,171948,ok
2019-12-12,170000,ok
2019-12-13,164480,ok
2019-12-14,97333,ok
2019-12-15,86495,ok
2019-12-16,143614,ok
2019-12-17,164039,ok
2019-12-18,167588,ok
2019-12-19,166834,ok
2019-12-20,159839,ok
2019-12-21,100642,ok
2019-12-22,84581,ok
2019-12-23,129282,ok
2019-12-24,116810,ok
2019-12-25,76553,ok
2019-12-26,97902,ok
2019-12-27,108277,ok
2019-12-28,78939,ok
2019-12-29,76429,ok
2019-12-30,118132,ok
2019-12-31,125858,ok
2020-01-01,89215,ok
2020-01-02,123425,ok
2020-01-03,157403,ok
2020-01-04,112518,ok
2020-01-05,112046,ok
2020-01-06,158919,ok
2020-01-07,179999,ok
2020-01-08,197021,ok
2020-01-09,189640,ok
2020-01-10,175329,ok
2020-01-11,115539,ok
2020-01-12,99273,ok
2020-01-13,161483,ok
2020-01-14,174278,ok
2020-01-15,170421,ok
2020-01-16,185276,ok
2020-01-17,168378,ok
2020-01-18,106658,ok
2020-01-19,93471,ok
2020-01-20,142865,ok
2020-01-21,166258,ok
2020-01-22,182627,ok
2020-01-23,182604,ok
2020-01-24,173437,ok
2020-01-25,109408,ok
2020-01-26,94443,ok
2020-01-27,149800,ok
2020-01-28,178857,ok
2020-01-29,186136,ok
2020-01-30,184259,ok
2020-01-31,179524,ok
2020-02-01,113580,ok
2020-02-02,98233,ok
2020-02-03,161458,ok
2020-02-04,179013,ok
2020-02-05,188775,ok
2020-02-06,184511,ok
2020-02-07,170420,ok
2020-02-08,106505,ok
2020-02-09,91661,ok
2020-02-10,151166,ok
2020-02-11,173842,ok
2020-02-12,180507,ok
2020-02-13,180679,ok
2020-02-14,168850,ok
2020-02-15,110866,ok
2020-02-16,94862,ok
2020-02-17,137987,ok
2020-02-18,168769,ok
2020-02-19,177361,ok
2020-02-20,184238,ok
2020-02-21,173798,ok
2020-02-22,108977,ok
2020-02-23,92859,ok
2020-02-24,150234,ok
2020-02-25,174646,ok
2020-02-26,182222,ok
2020-02-27,181243,ok
2020-02-28,176560,ok
2020-02-29,115113,ok
2020-03-01,106304,ok
2020-03-02,167485,ok
2020-03-03,186879,ok
2020-03-04,190380,ok
2020-03-05,188626,ok
2020-03-06,170905,ok
2020-03-07,107813,ok
2020-03-08,94160,ok
2020-03-09,154418,ok
2020-03-10,168093,ok
2020-03-11,177282,ok
2020-03-12,169538,ok
2020-03-13,159027,ok
2020-03-14,103752,ok
2020-03-15,94060,ok
2020-03-16,135499,ok
2020-03-17,158980,ok
2020-03-18,164629,ok
2020-03-19,159922,ok
2020-03-20,149994,ok
2020-03-21,97405,ok
2020-03-22,87824,ok
2020-03-23,136674,ok
2020-03-24,146264,ok
2020-03-25,148772,ok
2020-03-26,153612,ok
2020-03-27,144608,ok
2020-03-28,95934,ok
2020-03-29,87401,ok
2020-03-30,132906,ok
2020-03-31,154889,ok
2020-04-01,150645,ok
2020-04-02,150991,ok
2020-04-03,144262,ok
2020-04-04,96207,ok
2020-04-05,84778,ok
2020-04-06,128821,ok
2020-04-07,141898,ok
2020-04-08,141228,ok
2020-04-09,141372,ok
2020-04-10,122961,ok
2020-04-11,86402,ok
2020-04-12,75228,ok
2020-04-13,113790,ok
2020-04-14,135241,ok
2020-04-15,140350,ok
2020-04-16,140892,ok
2020-04-17,138516,ok
2020-04-18,94428,ok
2020-04-19,81675,ok
2020-04-20,128362,ok
2020-04-21,140292,ok
2020-04-22,144834,ok
2020-04-23,144632,ok
2020-04-24,139748,ok
2020-04-25,89512,ok
2020-04-26,78428,ok
2020-04-27,123336,ok
2020-04-28,136449,ok
2020-04-29,141961,ok
2020-04-30,145691,ok
2020-05-01,133963,ok
2020-05-02,86708,ok
2020-05-03,78906,ok
2020-05-04,125035,ok
2020-05-05,141162,ok
2020-05-06,144655,ok
2020-05-07,143094,ok
2020-05-08,141417,ok
2020-05-09,90606,ok
2020-05-10,76962,ok
2020-05-11,120993,ok
2020-05-12,139690,ok
2020-05-13,149009,ok
2020-05-14,146058,ok
2020-05-15,133521,ok
2020-05-16,88292,ok
2020-05-17,77459,ok
2020-05-18,124779,ok
2020-05-19,141396,ok
2020-05-20,145676,ok
2020-05-21,161449,ok
2020-05-22,134537,ok
2020-05-23,85112,ok
2020-05-24,75276,ok
2020-05-25,95029,ok
2020-05-26,125296,ok
2020-05-27,139327,ok
2020-05-28,144840,ok
2020-05-29,141418,ok
2020-05-30,99029,ok
2020-05-31,96470,ok
2020-06-01,143447,ok
2020-06-02,161225,ok
2020-06-03,167251,ok
2020-06-04,164891,ok
2020-06-05,154945,ok
2020-06-06,104606,ok
2020-06-07,89096,ok
2020-06-08,135954,ok
2020-06-09,151981,ok
2020-06-10,156151,ok
2020-06-11,154391,ok
2020-06-12,151007,ok
2020-06-13,95130,ok
2020-06-14,84693,ok
2020-06-15,136420,ok
2020-06-16,154419,ok
2020-06-17,161794,ok
2020-06-18,160358,ok
2020-06-19,153092,ok
2020-06-20,96605,ok
2020-06-21,81042,ok
2020-06-22,132129,ok
2020-06-23,152488,ok
2020-06-24,153564,ok
2020-06-25,152838,ok
2020-06-26,144738,ok
2020-06-27,92672,ok
2020-06-28,81149,ok
2020-06-29,131712,ok
2020-06-30,155455,ok
2020-07-01,156134,ok
2020-07-02,155174,ok
2020-07-03,130536,ok
2020-07-04,84646,ok
2020-07-05,75935,ok
2020-07-06,126052,ok
2020-07-07,146327,ok
2020-07-08,155955,ok
2020-07-09,153500,ok
2020-07-10,143452,ok
2020-07-11,91918,ok
2020-07-12,78142,ok
2020-07-13,130213,ok
2020-07-14,151840,ok
2020-07-15,151138,ok
2020-07-16,149283,ok
2020-07-17,140954,ok
2020-07-18,91747,ok
2020-07-19,78813,ok
2020-07-20,130648,ok
2020-07-21,145471,ok
2020-07-22,154647,ok
2020-07-23,152048,ok
2020-07-24,141760,ok
2020-07-25,89205,ok
2020-07-26,80023,ok
2020-07-27,132253,ok
2020-07-28,145115,ok
2020-07-29,147692,ok
